KEid_source	KEEnsembl_target	KEid	KEtitle	Ensembl
https://identifiers.org/aop.events/1000	ENSG00000141027	https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	ENSG00000141027
https://identifiers.org/aop.events/1046	ENSG00000091831	https://identifiers.org/aop.events/1046	Suppression, Estrogen receptor (ER) activity	ENSG00000091831
https://identifiers.org/aop.events/1046	ENSG00000140009	https://identifiers.org/aop.events/1046	Suppression, Estrogen receptor (ER) activity	ENSG00000140009
https://identifiers.org/aop.events/105	ENSG00000142168	https://identifiers.org/aop.events/105	Inhibition, Mitochondrial Electron Transport Chain Complexes	ENSG00000142168
https://identifiers.org/aop.events/1193	ENSG00000149311	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000149311
https://identifiers.org/aop.events/1193	ENSG00000139687	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000139687
https://identifiers.org/aop.events/1193	ENSG00000141510	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000141510
https://identifiers.org/aop.events/1202	ENSG00000015475	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000015475
https://identifiers.org/aop.events/1202	ENSG00000170345	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000170345
https://identifiers.org/aop.events/1202	ENSG00000177606	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000177606
https://identifiers.org/aop.events/122	ENSG00000113580	https://identifiers.org/aop.events/122	Activation, Glucocorticoid Receptor	ENSG00000113580
https://identifiers.org/aop.events/1252	ENSG00000118058	https://identifiers.org/aop.events/1252	Binding to (interferes with) topoisomerase II enzyme	ENSG00000118058
https://identifiers.org/aop.events/1253	ENSG00000118058	https://identifiers.org/aop.events/1253	 MLL chromosomal translocation	ENSG00000118058
https://identifiers.org/aop.events/1254	ENSG00000118058	https://identifiers.org/aop.events/1254	Infant leukaemia	ENSG00000118058
https://identifiers.org/aop.events/1262	ENSG00000116478	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000116478
https://identifiers.org/aop.events/1262	ENSG00000141510	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000141510
https://identifiers.org/aop.events/1262	ENSG00000109320	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000109320
https://identifiers.org/aop.events/1392	ENSG00000121691	https://identifiers.org/aop.events/1392	Oxidative Stress 	ENSG00000121691
https://identifiers.org/aop.events/1394	ENSG00000110092	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000110092
https://identifiers.org/aop.events/1394	ENSG00000139687	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000139687
https://identifiers.org/aop.events/1394	ENSG00000134982	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000134982
https://identifiers.org/aop.events/1394	ENSG00000136997	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000136997
https://identifiers.org/aop.events/1394	ENSG00000107643	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000107643
https://identifiers.org/aop.events/1394	ENSG00000103126	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000103126
https://identifiers.org/aop.events/1394	ENSG00000148737	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000148737
https://identifiers.org/aop.events/1394	ENSG00000170345	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000170345
https://identifiers.org/aop.events/1394	ENSG00000100644	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000100644
https://identifiers.org/aop.events/1394	ENSG00000177606	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000177606
https://identifiers.org/aop.events/1394	ENSG00000168036	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000168036
https://identifiers.org/aop.events/1394	ENSG00000109320	https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation	ENSG00000109320
https://identifiers.org/aop.events/1457	ENSG00000100030	https://identifiers.org/aop.events/1457	Induction, Epithelial Mesenchymal Transition	ENSG00000100030
https://identifiers.org/aop.events/1458	ENSG00000049540	https://identifiers.org/aop.events/1458	Pulmonary fibrosis	ENSG00000049540
https://identifiers.org/aop.events/1496	ENSG00000170345	https://identifiers.org/aop.events/1496	Increased, secretion of proinflammatory mediators	ENSG00000170345
https://identifiers.org/aop.events/1496	ENSG00000177606	https://identifiers.org/aop.events/1496	Increased, secretion of proinflammatory mediators	ENSG00000177606
https://identifiers.org/aop.events/1500	ENSG00000049540	https://identifiers.org/aop.events/1500	Increased, fibroblast proliferation and myofibroblast differentiation	ENSG00000049540
https://identifiers.org/aop.events/1501	ENSG00000049540	https://identifiers.org/aop.events/1501	Increased, extracellular matrix deposition	ENSG00000049540
https://identifiers.org/aop.events/1502	ENSG00000048052	https://identifiers.org/aop.events/1502	Histone deacetylase inhibition	ENSG00000048052
https://identifiers.org/aop.events/1502	ENSG00000094631	https://identifiers.org/aop.events/1502	Histone deacetylase inhibition	ENSG00000094631
https://identifiers.org/aop.events/1503	ENSG00000048052	https://identifiers.org/aop.events/1503	Histone acetylation, increase	ENSG00000048052
https://identifiers.org/aop.events/1512	ENSG00000172071	https://identifiers.org/aop.events/1512	Unfolded Protein Response	ENSG00000172071
https://identifiers.org/aop.events/1513	ENSG00000107643	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000107643
https://identifiers.org/aop.events/1513	ENSG00000141510	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000141510
https://identifiers.org/aop.events/1513	ENSG00000171791	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000171791
https://identifiers.org/aop.events/1515	ENSG00000049541	https://identifiers.org/aop.events/1515	Spermatocyte depletion	ENSG00000049541
https://identifiers.org/aop.events/1515	ENSG00000118971	https://identifiers.org/aop.events/1515	Spermatocyte depletion	ENSG00000118971
https://identifiers.org/aop.events/1515	ENSG00000171791	https://identifiers.org/aop.events/1515	Spermatocyte depletion	ENSG00000171791
https://identifiers.org/aop.events/1538	ENSG00000113580	https://identifiers.org/aop.events/1538	Decreased protection against oxidative stress	ENSG00000113580
https://identifiers.org/aop.events/155	ENSG00000152422	https://identifiers.org/aop.events/155	Inadequate DNA repair	ENSG00000152422
https://identifiers.org/aop.events/155	ENSG00000073050	https://identifiers.org/aop.events/155	Inadequate DNA repair	ENSG00000073050
https://identifiers.org/aop.events/155	ENSG00000141510	https://identifiers.org/aop.events/155	Inadequate DNA repair	ENSG00000141510
