KEid_source	KEEnsembl_target	KEid	KEtitle	Ensembl
https://identifiers.org/aop.events/1647	ENSG00000137154	https://identifiers.org/aop.events/1647	GSK3beta inactivation	ENSG00000137154
https://identifiers.org/aop.events/2040	ENSG00000184916	https://identifiers.org/aop.events/2040	Decrease, GLI1/2 target gene expression	ENSG00000184916
https://identifiers.org/aop.events/584	ENSG00000137154	https://identifiers.org/aop.events/584	Inhibition, sodium channel	ENSG00000137154
https://identifiers.org/aop.events/593	ENSG00000137154	https://identifiers.org/aop.events/593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	ENSG00000137154
NA	ENSG00000106682	NA	NA	ENSG00000106682
NA	ENSG00000100664	NA	NA	ENSG00000100664
NA	ENSG00000144895	NA	NA	ENSG00000144895
NA	ENSG00000134001	NA	NA	ENSG00000134001
NA	ENSG00000214285	NA	NA	ENSG00000214285
NA	ENSG00000071462	NA	NA	ENSG00000071462
NA	ENSG00000128512	NA	NA	ENSG00000128512
NA	ENSG00000133112	NA	NA	ENSG00000133112
NA	ENSG00000187258	NA	NA	ENSG00000187258
NA	ENSG00000153944	NA	NA	ENSG00000153944
NA	ENSG00000101384	NA	NA	ENSG00000101384
NA	ENSG00000071626	NA	NA	ENSG00000071626
NA	ENSG00000204301	NA	NA	ENSG00000204301
NA	ENSG00000105245	NA	NA	ENSG00000105245
